,Company Names,Tickers
1140,Precot Meridian Limited,PRECOT.NS
1141,Precision Wires India Limited,PRECWIRE.NS
1142,Premier Explosives Limited,PREMEXPLN.NS
1143,Premier Limited,PREMIER.NS
1144,Premier Polyfilm Limited,PREMIERPOL.NS
1145,Pressman Advertising Limited,PRESSMN.NS
1146,Prestige Estates Projects Limited,PRESTIGE.NS
1147,Pricol Limited,PRICOLLTD.NS
1148,Prime Securities Limited,PRIMESECU.NS
1149,Proseed India Limited,PROSEED.NS
1150,Provogue (India) Limited,PROVOGE.NS
1151,Prozone Intu Properties Limited,PROZONINTU.NS
1152,Prism Johnson Limited,PRSMJOHNSN.NS
1153,Punjab & Sind Bank,PSB.NS
1154,PSL Limited,PSL.NS
1155,PSP Projects Limited,PSPPROJECT.NS
1156,PTC India Limited,PTC.NS
1157,PTL Enterprises Limited,PTL.NS
1158,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM.NS
1159,Punj Lloyd Limited,PUNJLLOYD.NS
1160,Puravankara Limited,PURVA.NS
1161,PVR Limited,PVR.NS
1162,Quess Corp Limited,QUESS.NS
1163,Quick Heal Technologies Limited,QUICKHEAL.NS
1164,Radaan Mediaworks India Limited,RADAAN.NS
1165,Radico Khaitan Limited,RADICO.NS
1166,Music Broadcast Limited,RADIOCITY.NS
1167,Rain Industries Limited,RAIN.NS
1168,Rajesh Exports Limited,RAJESHEXPO.NS
1169,Raj Rayon Industries Limited,RAJRAYON.NS
1170,Rajshree Sugars & Chemicals Limited,RAJSREESUG.NS
1171,Raj Television Network Limited,RAJTV.NS
1172,Rajvir Industries Limited,RAJVIR.NS
1173,Rallis India Limited,RALLIS.NS
1174,Shree Rama Newsprint Limited,RAMANEWS.NS
1175,Rama Steel Tubes Limited,RAMASTEEL.NS
1176,The Ramco Cements Limited,RAMCOCEM.NS
1177,Ramco Industries Limited,RAMCOIND.NS
1178,Ramco Systems Limited,RAMCOSYS.NS
1179,Ramky Infrastructure Limited,RAMKY.NS
1180,Ramsarup Industries Limited,RAMSARUP.NS
1181,Rana Sugars Limited,RANASUG.NS
1182,Rane Engine Valve Limited,RANEENGINE.NS
1183,Rane Holdings Limited,RANEHOLDIN.NS
1184,Ratnamani Metals & Tubes Limited,RATNAMANI.NS
1185,Raymond Limited,RAYMOND.NS
1186,Rane Brake Lining Limited,RBL.NS
1187,RBL Bank Limited,RBLBANK.NS
1188,Rashtriya Chemicals and Fertilizers Limited,RCF.NS
1189,Reliance Communications Limited,RCOM.NS
1190,REC Limited,RECLTD.NS
1191,Redington (India) Limited,REDINGTON.NS
1192,Refex Industries Limited,REFEX.NS
1193,Regency Ceramics Limited,REGENCERAM.NS
1194,Relaxo Footwears Limited,RELAXO.NS
1195,Reliance Capital Limited,RELCAPITAL.NS
1196,Reliance Industries Limited,RELIANCE.NS
1197,Religare Enterprises Limited,RELIGARE.NS
1198,Reliance Infrastructure Limited,RELINFRA.NS
1199,Remsons Industries Limited,REMSONSIND.NS
1200,Shree Renuka Sugars Limited,RENUKA.NS
1201,Repco Home Finance Limited,REPCOHOME.NS
1202,Repro India Limited,REPRO.NS
1203,Responsive Industries Limited,RESPONIND.NS
1204,Revathi Equipment Limited,REVATHI.NS
1205,Renaissance Global Limited,RGL.NS
1206,Reliance Home Finance Limited,RHFL.NS
1207,Rico Auto Industries Limited,RICOAUTO.NS
1208,Reliance Industrial Infrastructure Limited,RIIL.NS
1209,RITES Limited,RITES.NS
1210,Ravi Kumar Distilleries Limited,RKDL.NS
1211,Ramkrishna Forgings Limited,RKFORGE.NS
1212,Radha Madhav Corporation Limited,RMCL.NS
1213,Rane (Madras) Limited,RML.NS
1214,Reliance Nippon Life Asset Management Limited,RNAM.NS
1215,Reliance Naval and Engineering Limited,RNAVAL.NS
1216,Rohit Ferro-Tech Limited,ROHITFERRO.NS
1217,Royal Orchid Hotels Limited,ROHLTD.NS
1218,Rollatainers Limited,ROLLT.NS
1219,Rolta India Limited,ROLTA.NS
1220,Rossell India Limited,ROSSELLIND.NS
1221,RPG Life Sciences Limited,RPGLIFE.NS
